Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,.01,.04,.06,-.01,-.13,-.24,-.17,.07,-.05,-.14,.01,.06,-.04,***,***,-.03,-.11,-.06
1881,-.08,-.06,.10,.10,.09,-.05,-.08,-.02,-.04,.00,.01,.10,.01,.00,-.02,.09,-.05,-.01
1882,.07,.08,.07,-.01,-.04,-.15,-.04,.01,-.04,.03,.00,-.06,-.01,.01,.08,.01,-.06,.00
1883,-.02,-.07,-.09,-.07,-.10,-.02,-.08,-.05,-.10,-.06,-.03,-.05,-.06,-.06,-.05,-.08,-.05,-.07
1884,-.08,-.05,-.10,-.21,-.32,-.29,-.21,-.06,-.11,-.06,-.10,-.14,-.14,-.14,-.06,-.21,-.19,-.09
1885,-.19,-.22,-.29,-.35,-.33,-.42,-.33,-.22,-.19,-.13,-.10,-.09,-.24,-.24,-.18,-.32,-.32,-.14
1886,-.14,-.19,-.16,-.19,-.15,-.31,-.21,-.18,-.15,-.24,-.14,-.28,-.20,-.18,-.14,-.17,-.24,-.18
1887,-.36,-.43,-.27,-.30,-.35,-.27,-.27,-.16,-.30,-.22,-.24,-.22,-.28,-.29,-.36,-.31,-.23,-.25
1888,-.20,-.13,-.21,-.20,-.29,-.32,-.21,-.10,-.05,.06,.07,.15,-.12,-.15,-.18,-.23,-.21,.03
1889,.08,.03,.13,.03,.01,-.13,-.07,-.20,-.17,-.10,-.05,-.03,-.04,-.02,.09,.06,-.13,-.11
1890,-.20,-.32,-.34,-.35,-.44,-.33,-.33,-.39,-.38,-.40,-.24,-.16,-.32,-.31,-.19,-.37,-.35,-.34
1891,-.21,-.25,-.20,-.19,-.17,-.28,-.23,-.22,-.24,-.16,-.10,-.05,-.19,-.20,-.21,-.19,-.24,-.16
1892,-.08,-.06,-.14,-.21,-.23,-.38,-.26,-.21,-.13,-.01,-.02,-.11,-.15,-.15,-.06,-.19,-.29,-.05
1893,-.12,-.17,-.12,-.24,-.25,-.32,-.15,-.17,-.17,-.09,-.03,-.02,-.15,-.16,-.13,-.20,-.21,-.09
1894,-.14,-.15,-.24,-.35,-.35,-.40,-.27,-.20,-.23,-.18,-.03,-.06,-.22,-.21,-.10,-.31,-.29,-.14
1895,-.12,-.05,-.16,-.24,-.24,-.21,-.15,-.06,-.18,-.12,-.20,-.05,-.15,-.15,-.08,-.21,-.14,-.17
1896,-.08,-.06,-.03,-.01,-.15,-.28,-.05,.01,-.02,.09,.12,.13,-.03,-.04,-.06,-.06,-.11,.07
1897,.10,.08,.12,.01,-.16,-.16,-.08,-.11,-.10,-.10,-.09,-.11,-.05,-.03,.10,-.01,-.11,-.09
1898,-.09,-.15,-.22,-.33,-.33,-.29,-.33,-.35,-.25,-.32,-.25,-.20,-.26,-.25,-.12,-.30,-.33,-.27
1899,-.19,-.12,-.13,-.17,-.22,-.27,-.15,-.10,-.05,-.12,-.09,-.05,-.14,-.15,-.17,-.17,-.17,-.09
1900,-.09,.03,-.04,-.07,-.13,-.09,-.12,-.07,-.06,-.01,.01,-.09,-.06,-.06,-.04,-.08,-.09,-.02
1901,-.10,-.12,-.14,-.15,-.18,-.24,-.29,-.24,-.17,-.26,-.12,-.14,-.18,-.17,-.10,-.16,-.26,-.18
1902,-.18,-.14,-.17,-.17,-.25,-.22,-.22,-.30,-.24,-.26,-.25,-.22,-.22,-.21,-.15,-.20,-.25,-.25
1903,-.24,-.22,-.30,-.35,-.36,-.39,-.27,-.35,-.50,-.47,-.43,-.46,-.36,-.34,-.22,-.34,-.34,-.47
1904,-.50,-.55,-.56,-.50,-.60,-.48,-.42,-.43,-.48,-.38,-.25,-.30,-.45,-.47,-.50,-.55,-.44,-.37
1905,-.27,-.34,-.20,-.20,-.28,-.27,-.30,-.16,-.17,-.21,-.20,-.07,-.22,-.24,-.30,-.23,-.24,-.19
1906,.02,-.03,-.16,-.14,-.27,-.27,-.19,-.22,-.32,-.23,-.34,-.32,-.20,-.18,-.03,-.19,-.23,-.29
1907,-.26,-.29,-.24,-.28,-.34,-.32,-.29,-.28,-.28,-.25,-.35,-.34,-.29,-.29,-.29,-.28,-.30,-.29
1908,-.34,-.38,-.39,-.40,-.46,-.46,-.35,-.35,-.41,-.43,-.40,-.43,-.40,-.39,-.35,-.42,-.38,-.41
1909,-.50,-.46,-.40,-.52,-.59,-.51,-.45,-.31,-.41,-.46,-.52,-.54,-.47,-.46,-.46,-.50,-.43,-.46
1910,-.48,-.44,-.52,-.44,-.38,-.31,-.30,-.33,-.34,-.50,-.51,-.52,-.42,-.42,-.49,-.45,-.31,-.45
1911,-.52,-.54,-.57,-.60,-.57,-.65,-.45,-.44,-.43,-.32,-.20,-.10,-.45,-.48,-.53,-.58,-.51,-.32
1912,-.13,-.10,-.13,-.17,-.28,-.31,-.31,-.29,-.34,-.29,-.24,-.28,-.24,-.22,-.11,-.19,-.30,-.29
1913,-.23,-.24,-.37,-.28,-.32,-.39,-.19,-.20,-.26,-.24,-.23,-.13,-.26,-.27,-.25,-.32,-.26,-.24
1914,-.07,-.08,-.11,-.18,-.22,-.27,-.12,-.04,-.03,-.04,-.06,-.01,-.10,-.11,-.09,-.17,-.14,-.04
1915,-.12,.03,.06,.07,-.09,-.29,-.13,-.26,-.19,-.20,-.22,-.17,-.13,-.11,-.03,.01,-.23,-.20
1916,-.15,-.12,-.17,-.26,-.33,-.48,-.40,-.19,-.24,-.31,-.46,-.50,-.30,-.27,-.14,-.25,-.36,-.34
1917,-.62,-.58,-.53,-.46,-.38,-.38,-.18,-.06,-.15,-.26,-.35,-.28,-.35,-.37,-.57,-.46,-.21,-.25
1918,-.26,-.23,-.25,-.29,-.37,-.27,-.28,-.25,-.09,-.06,.03,.00,-.19,-.22,-.26,-.30,-.27,-.04
1919,.00,-.05,-.02,-.01,-.13,-.31,-.25,-.36,-.31,-.30,-.33,-.27,-.20,-.17,-.01,-.05,-.31,-.32
1920,-.32,-.22,-.24,-.26,-.32,-.44,-.34,-.20,-.08,-.12,-.07,-.19,-.23,-.24,-.27,-.27,-.33,-.09
1921,-.27,-.27,-.36,-.43,-.35,-.38,-.26,-.21,-.19,-.05,-.16,-.21,-.26,-.26,-.24,-.38,-.28,-.13
1922,-.27,-.25,-.19,-.30,-.47,-.45,-.28,-.29,-.29,-.33,-.16,-.23,-.29,-.29,-.24,-.32,-.34,-.26
1923,-.37,-.31,-.29,-.28,-.28,-.34,-.32,-.37,-.43,-.32,-.19,-.16,-.31,-.31,-.30,-.28,-.34,-.31
1924,-.16,-.24,-.18,-.33,-.30,-.32,-.35,-.45,-.42,-.47,-.52,-.50,-.35,-.32,-.19,-.27,-.38,-.47
1925,-.50,-.42,-.33,-.35,-.36,-.38,-.27,-.20,-.33,-.24,-.10,-.08,-.30,-.33,-.47,-.34,-.28,-.23
1926,-.10,-.12,-.15,-.11,-.22,-.29,-.33,-.19,-.24,-.27,-.27,-.28,-.21,-.20,-.10,-.16,-.27,-.26
1927,-.25,-.27,-.30,-.34,-.38,-.40,-.30,-.30,-.27,-.25,-.18,-.26,-.29,-.29,-.26,-.34,-.33,-.23
1928,-.28,-.26,-.26,-.23,-.41,-.44,-.28,-.26,-.27,-.29,-.21,-.29,-.29,-.29,-.26,-.30,-.33,-.26
1929,-.33,-.36,-.46,-.47,-.48,-.47,-.38,-.43,-.30,-.27,-.18,-.41,-.38,-.37,-.33,-.47,-.43,-.25
1930,-.47,-.34,-.33,-.33,-.28,-.31,-.36,-.29,-.27,-.23,-.06,-.16,-.29,-.31,-.41,-.31,-.32,-.19
1931,-.18,-.15,-.12,-.22,-.22,-.29,-.14,-.16,-.29,-.25,-.36,-.20,-.22,-.21,-.16,-.19,-.20,-.30
1932,-.09,-.15,-.16,-.21,-.25,-.42,-.34,-.34,-.31,-.31,-.21,-.30,-.26,-.25,-.15,-.21,-.37,-.28
1933,-.27,-.27,-.27,-.31,-.32,-.37,-.30,-.33,-.31,-.33,-.38,-.35,-.32,-.31,-.28,-.30,-.33,-.34
1934,-.30,-.40,-.33,-.33,-.28,-.28,-.18,-.15,-.17,-.26,-.20,-.23,-.26,-.27,-.35,-.31,-.20,-.21
1935,-.27,-.30,-.32,-.38,-.30,-.39,-.39,-.37,-.36,-.22,-.19,-.17,-.30,-.31,-.26,-.33,-.38,-.25
1936,-.26,-.25,-.30,-.33,-.32,-.48,-.29,-.28,-.25,-.13,-.12,-.18,-.27,-.26,-.22,-.32,-.35,-.17
1937,-.24,-.18,-.18,-.25,-.23,-.24,-.22,-.11,-.11,-.16,-.07,-.14,-.18,-.18,-.20,-.22,-.19,-.11
1938,-.19,-.21,-.16,-.20,-.23,-.29,-.18,-.21,-.17,-.05,-.18,-.14,-.18,-.18,-.18,-.20,-.23,-.13
1939,-.15,-.13,-.12,-.13,-.11,-.14,-.15,-.19,-.27,-.15,-.10,.10,-.13,-.15,-.14,-.12,-.16,-.17
1940,.12,.04,.17,.09,.06,.07,.09,.08,.07,-.03,.06,.29,.09,.08,.09,.10,.08,.03
1941,.21,.17,.10,.22,.13,.08,.21,.13,-.03,.23,.29,.26,.17,.17,.22,.15,.14,.16
1942,.19,.14,.12,.10,.06,.00,.00,.00,-.17,-.26,-.08,-.04,.01,.03,.20,.09,.00,-.17
1943,.07,-.04,-.08,-.11,-.11,-.04,.17,-.08,-.04,-.01,.03,.08,-.01,-.02,.00,-.10,.02,.00
1944,.08,.05,.21,.21,.14,.16,.23,.22,.20,.08,.03,.09,.14,.14,.07,.18,.20,.11
1945,.10,.08,.03,.10,.04,-.06,.02,.25,.21,.13,.07,.08,.09,.09,.09,.05,.07,.14
1946,-.03,-.03,-.09,-.20,-.17,-.37,-.22,-.31,-.13,-.18,-.18,-.16,-.17,-.15,.01,-.15,-.30,-.16
1947,-.08,-.12,-.16,-.11,-.10,-.03,-.06,-.10,-.24,-.27,-.15,-.23,-.14,-.13,-.12,-.12,-.06,-.22
1948,-.18,-.15,-.22,-.20,-.18,-.15,-.24,-.26,-.27,-.19,-.28,-.08,-.20,-.21,-.18,-.20,-.22,-.25
1949,-.10,-.19,-.08,-.19,-.21,-.34,-.15,-.21,-.19,-.21,-.25,-.22,-.20,-.18,-.12,-.16,-.23,-.22
1950,-.23,-.27,-.22,-.20,-.19,-.05,-.01,-.12,-.15,-.36,-.35,-.32,-.21,-.20,-.24,-.20,-.06,-.29
1951,-.33,-.32,-.22,-.35,-.18,-.11,-.10,-.10,-.21,-.11,-.08,-.06,-.18,-.20,-.32,-.25,-.10,-.14
1952,.07,.06,.06,-.10,-.19,-.22,-.06,.03,-.01,.01,-.05,-.03,-.04,-.04,.03,-.08,-.08,-.02
1953,-.08,-.07,-.03,-.02,-.01,-.01,-.19,-.07,-.08,-.10,-.12,-.11,-.07,-.07,-.06,-.02,-.09,-.10
1954,-.23,-.19,-.13,-.27,-.33,-.34,-.29,-.34,-.29,-.18,-.20,-.26,-.25,-.24,-.18,-.24,-.32,-.22
1955,-.17,-.19,-.22,-.22,-.29,-.19,-.20,-.05,-.22,-.24,-.19,-.29,-.20,-.20,-.21,-.24,-.14,-.22
1956,-.22,-.17,-.20,-.30,-.29,-.13,.00,-.24,-.08,-.19,-.05,-.03,-.16,-.18,-.23,-.26,-.12,-.11
1957,-.04,-.01,.02,.11,.25,.19,-.03,.10,.03,-.05,.03,.06,.05,.05,-.03,.13,.09,.00
1958,.09,.14,.02,.01,-.02,-.18,.09,-.19,-.10,.01,.02,-.14,-.02,.00,.10,.01,-.09,-.02
1959,-.07,-.03,.02,.07,.07,-.08,.02,-.10,-.25,-.07,-.17,-.10,-.06,-.06,-.08,.05,-.05,-.16
1960,-.15,-.13,-.27,-.16,-.18,-.27,-.16,-.05,.01,.05,-.12,-.01,-.12,-.13,-.13,-.20,-.16,-.02
1961,-.03,.08,-.02,.09,.19,.05,-.04,-.04,.18,.07,-.01,-.15,.03,.04,.01,.09,-.01,.08
